Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	d5ee6a55-2faf-4591-b47f-187662a45596	PathCellObject		PathAnnotationObject	Polygon	7012.5	14069.7	0.8209	16.2588	14.6798	0.9481	0.9999	5.1773	3.9099	36.5816	22.019	0.9481	1	7.766	5.8648	0.4444	0.8849	0.8977	0.4856	1.3429	0.2004	0.4095	0.4062	0.1755	0.725	0.1091	0.3583	0.3639	0.1755	0.5381	0.0936	0.6231	0.5409	0.1755	1.3429	0.2838	0.2805	0.2817	0.1448	0.383	0.0416	0.2443	0.2359	0.1143	0.4083	0.0579	0.254	0.2515	0.1488	0.4083	0.0689	0.2606	0.2661	0.1143	0.4083	0.0542
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	26974109-0d2e-4b9c-a6b6-185f7b8f9f1d	PathCellObject		PathAnnotationObject	Polygon	7032.3	14116.5	0.8204	20.5997	17.0212	0.8935	0.997	6.5352	4.0287	46.4941	25.5129	0.8976	1	9.8039	6.0429	0.4431	0.8895	0.9071	0.3505	1.2976	0.2108	0.3778	0.3244	0.0862	1.0419	0.2037	0.3127	0.2964	0.0862	0.7744	0.1605	0.6062	0.5749	0.0862	1.2976	0.3279	0.3097	0.3137	0.1056	0.441	0.0563	0.2097	0.2067	-0.0235	0.4932	0.1347	0.2313	0.241	-0.0235	0.4932	0.1577	0.2544	0.2811	-0.0235	0.4932	0.118
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	ba5b50f0-b3dc-4bf7-a6dd-c15704f60d0b	PathCellObject		PathAnnotationObject	Polygon	6942.9	14036.4	0.8197	38.5278	22.9343	0.9205	0.9978	8.5716	5.877	86.8561	34.3901	0.9229	1	12.8582	8.8128	0.4436	1.3194	1.3572	0.6983	1.6779	0.2155	0.6479	0.6244	0.2147	1.4541	0.2453	0.4682	0.4507	0.2147	0.8872	0.1567	0.9461	0.92	0.2147	1.6779	0.4067	0.5143	0.5115	0.2864	0.7771	0.0716	0.3664	0.3924	0.0649	0.5889	0.136	0.3314	0.3455	0.0849	0.5551	0.1489	0.4321	0.46	0.0649	0.7771	0.134
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	3892818c-82d5-4a92-ac14-7e194ae9d57e	PathCellObject		PathAnnotationObject	Polygon	7056.7	14038.9	0.8187	21.9705	17.0847	0.9459	0.9986	6.3125	4.7116	49.5081	25.6213	0.9477	1	9.4683	7.0671	0.4438	0.9455	0.9783	0.4863	1.3049	0.1757	0.463	0.4386	0.216	1.2487	0.1637	0.4369	0.4078	0.2215	1.103	0.1818	0.6785	0.6009	0.216	1.3049	0.2936	0.2799	0.2856	0.1746	0.3424	0.0296	0.2435	0.2411	0.1267	0.4344	0.0575	0.2381	0.2292	0.1267	0.4344	0.0717	0.2598	0.2654	0.1267	0.4344	0.0505
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	29a0bfff-31ab-49fb-a57e-3fa013cb5b52	PathCellObject		PathAnnotationObject	Polygon	7069.2	14053.5	0.8179	40.5126	22.996	0.9627	0.9986	8.0711	6.3708	91.2804	34.4855	0.9645	1	12.1062	9.5559	0.4439	1.2642	1.2994	0.7613	1.6511	0.1826	0.5259	0.5372	0.0667	1.1578	0.2393	0.3408	0.3243	0.0667	0.9213	0.2058	0.8526	0.8241	0.0667	1.6511	0.4257	0.3016	0.3033	0.159	0.4568	0.0498	0.229	0.2519	0.009	0.4338	0.1185	0.1875	0.1915	0.009	0.3952	0.1263	0.2612	0.281	0.009	0.4568	0.1011
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	4f8a0d87-1620-49ae-884f-6d2b28b26425	PathCellObject		PathAnnotationObject	Polygon	6891.4	14038	0.8176	34.7285	21.1481	0.9758	0.9991	7.1651	6.2302	78.2106	31.715	0.9771	1	10.7474	9.3449	0.444	0.9103	0.929	0.4739	1.2129	0.1182	0.5632	0.528	0.1437	1.1018	0.2348	0.5136	0.3935	0.1437	1.1018	0.2658	0.7172	0.7935	0.1437	1.2129	0.2581	0.3193	0.3124	0.2188	0.445	0.0396	0.3206	0.3281	0.094	0.5063	0.0875	0.3008	0.3306	0.094	0.4637	0.1003	0.32	0.3191	0.094	0.5063	0.0704
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	80e2fa5f-d7ae-4da1-8336-350fadbdfec8	PathCellObject		PathAnnotationObject	Polygon	6956.8	14077.5	0.8174	17.1075	15.6553	0.8771	0.9974	6.0642	3.6099	38.5994	23.4814	0.8797	1	9.0966	5.4162	0.4433	1.1596	1.1522	0.3641	2.1771	0.445	0.3436	0.3114	0.0988	1.1824	0.1807	0.2403	0.2282	0.0988	0.4679	0.0887	0.704	0.482	0.0988	2.1771	0.5196	0.3265	0.3375	0.1152	0.5117	0.086	0.216	0.2179	0.0239	0.4173	0.0749	0.1935	0.1874	0.0239	0.3789	0.0817	0.2648	0.2575	0.0239	0.5117	0.097
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	5e984d0d-babf-476f-b5b0-2c008361c8b5	PathCellObject		PathAnnotationObject	Polygon	6922.2	14073.7	0.8173	25.0123	19.02	0.8688	0.9881	7.4083	4.521	56.9506	28.4592	0.8836	1	11.1126	6.7809	0.4392	0.9464	0.938	0.4128	1.6388	0.2892	0.7175	0.634	0.124	1.5962	0.3516	0.5847	0.5665	0.124	1.2767	0.2914	0.819	0.7507	0.124	1.6388	0.3446	0.2023	0.1894	0.0028	0.4604	0.0991	0.2388	0.2291	0.0122	0.4996	0.108	0.2293	0.2065	0.0122	0.4691	0.1179	0.2226	0.2152	0.0028	0.4996	0.1057
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	cf7fb398-4deb-4fed-a3d3-9faf4140ad3e	PathCellObject		PathAnnotationObject	Polygon	6982	14189.1	0.8166	20.7601	18.203	0.7873	0.9964	7.6134	3.5473	46.8805	27.2854	0.7913	1	11.4204	5.3207	0.4429	1.0792	1.1051	0.6281	1.4184	0.2095	0.5124	0.4944	0.2641	0.8824	0.1118	0.4244	0.4243	0.2641	0.5763	0.0757	0.7616	0.6586	0.2641	1.4184	0.3248	0.4016	0.4033	0.262	0.5112	0.0426	0.3829	0.4059	0.1382	0.5059	0.0817	0.3671	0.405	0.1382	0.497	0.0989	0.3911	0.4043	0.1382	0.5112	0.068
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	42ddae01-dc5d-47dd-836f-e2cdcd50a111	PathCellObject		PathAnnotationObject	Polygon	7072.7	14161.1	0.8163	32.0417	22.4018	0.8023	0.995	9.2467	4.2706	72.4592	33.5719	0.8079	1	13.8686	6.4071	0.4422	1.0873	1.1146	0.62	1.4834	0.2105	0.4219	0.4228	0.1237	0.8803	0.1472	0.3331	0.3275	0.1254	0.5859	0.1096	0.717	0.6119	0.1237	1.4834	0.3755	0.2857	0.2917	0.0971	0.4288	0.064	0.274	0.2804	0.0744	0.5233	0.111	0.2694	0.2786	0.0744	0.4836	0.1027	0.2792	0.2873	0.0744	0.5233	0.0933
