Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	32b4cc04-85fe-4aaa-a0a1-59fa09c0c623	PathCellObject		PathAnnotationObject	Polygon	3582.1	14808.6	0.8955	19.5532	15.8848	0.9738	1	5.4635	4.7105	43.9957	23.827	0.9738	1	8.1939	7.0654	0.4445	1.4075	1.5458	0.2907	2.059	0.4475	0.351	0.3167	0.16	0.9576	0.1388	0.2973	0.2831	0.17	0.5471	0.0811	0.8203	0.5123	0.16	2.059	0.6127	0.1732	0.1826	-0.0283	0.3167	0.0696	0.1742	0.1613	0.0202	0.5048	0.0739	0.2153	0.2019	0.0908	0.5048	0.0798	0.1737	0.1677	-0.0283	0.5048	0.0719
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	2af6d807-25cb-4689-a1c0-99ae2c11857b	PathCellObject		PathAnnotationObject	Polygon	3689.8	14870.3	0.8953	19.0545	15.7317	0.9675	1	5.6039	4.5321	42.8752	23.5981	0.9675	1	8.4072	6.7976	0.4444	0.9618	0.9474	0.5227	1.3738	0.155	0.5092	0.4992	0.2221	1.0049	0.16	0.4141	0.366	0.2419	0.841	0.1345	0.7084	0.6984	0.2221	1.3738	0.2746	0.2414	0.1991	0.0777	0.7857	0.1321	0.3357	0.3228	0.0822	0.7315	0.1397	0.3284	0.324	0.1517	0.6684	0.1198	0.2942	0.2464	0.0777	0.7857	0.1441
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	5bfbb5ec-843b-47fd-97a5-98b71c2bdad6	PathCellObject		PathAnnotationObject	Polygon	3690.8	14746.8	0.8934	15.9888	14.4869	0.9574	1	5.2048	3.9127	35.9777	21.7311	0.9574	1	7.8075	5.8685	0.4444	0.7734	0.7461	0.3248	1.3824	0.2136	0.3041	0.2792	0.1556	0.6438	0.092	0.2693	0.2611	0.1619	0.4003	0.0502	0.5139	0.4062	0.1556	1.3824	0.2821	0.1216	0.1025	0.0111	0.2925	0.0623	0.2109	0.2276	0.0192	0.3384	0.0692	0.2368	0.2389	0.1146	0.3384	0.0499	0.171	0.1789	0.0111	0.3384	0.0797
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	65fa382c-bb9a-4545-9b81-16b3061c4882	PathCellObject		PathAnnotationObject	Polygon	3557.4	14809.1	0.8911	23.3857	17.4068	0.9699	1	5.9086	5.1074	52.6212	26.1109	0.9699	1	8.8628	7.6617	0.4444	1.0999	1.1286	0.5127	1.4896	0.2198	0.4834	0.4144	0.1714	1.3885	0.2407	0.3589	0.3032	0.1823	1.1954	0.1955	0.7568	0.6853	0.1714	1.4896	0.3841	0.2151	0.2017	0.0721	0.4069	0.0743	0.2163	0.2088	0.0256	0.4328	0.0864	0.2335	0.2423	0.0585	0.4258	0.0841	0.2158	0.206	0.0256	0.4328	0.0812
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	6778a70d-2ad8-466a-bcc6-d225d08a0567	PathCellObject		PathAnnotationObject	Polygon	3612.4	14752	0.8905	20.8966	16.492	0.9655	0.9972	5.5813	4.8903	47.1497	24.7166	0.9699	1	8.3712	7.3358	0.4432	1.4333	1.486	0.3687	2.2484	0.4338	0.4017	0.3674	0.1718	0.9948	0.157	0.3619	0.3315	0.1758	0.8837	0.1404	0.8613	0.5861	0.1718	2.2484	0.6005	0.1729	0.1679	0.0137	0.3167	0.0647	0.223	0.223	0.0449	0.4709	0.0738	0.2674	0.2661	0.1112	0.4709	0.0778	0.2007	0.1975	0.0137	0.4709	0.0742
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	74166b07-b691-48f0-8aef-5ab586e7fc7b	PathCellObject		PathAnnotationObject	Polygon	3539.8	14665.5	0.8806	20.4013	16.1487	0.9831	1	5.4199	4.9611	45.9002	24.2224	0.9831	1	8.1305	7.4413	0.4445	1.5134	1.6368	0.4774	2.0716	0.3657	0.4041	0.3626	0.1935	1.0251	0.1515	0.3166	0.3154	0.1973	0.4318	0.0572	0.8932	0.5922	0.1935	2.0716	0.6127	0.1834	0.1944	-0.0235	0.3412	0.066	0.1757	0.1755	0.0449	0.3331	0.0514	0.1895	0.1862	0.086	0.3331	0.055	0.1791	0.1834	-0.0235	0.3412	0.0584
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	720f2c4d-94b4-4c9b-bfc5-96ec420c715a	PathCellObject		PathAnnotationObject	Polygon	3672.7	14760.2	0.8805	24.2004	18.2217	0.9159	0.9964	6.6812	4.7507	54.6416	27.3112	0.9206	1	10.0214	7.1252	0.4428	1.3096	1.4093	0.479	1.9146	0.3585	0.3256	0.296	0.097	0.8803	0.1259	0.2367	0.2402	0.0976	0.4011	0.0641	0.7564	0.483	0.097	1.9146	0.5511	0.2055	0.2251	0.0143	0.3547	0.0795	0.1961	0.1972	0.0444	0.3406	0.0646	0.1996	0.2023	0.0444	0.3406	0.0791	0.2002	0.2077	0.0143	0.3547	0.0716
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	27967d6d-d9b8-43e6-a2fb-7f1f0ddace1f	PathCellObject		PathAnnotationObject	Polygon	3688.2	14761.7	0.8801	24.671	18.7202	0.8847	0.9934	7.2902	4.4895	55.8718	28.0445	0.8927	1	10.9351	6.7328	0.4415	1.3982	1.5135	0.5008	2.1029	0.3688	0.4796	0.4752	0.1768	1.0069	0.1609	0.371	0.3766	0.1768	0.6181	0.1158	0.8863	0.6644	0.1768	2.1029	0.5319	0.1939	0.193	0.0411	0.3841	0.0604	0.2317	0.2257	0.1072	0.4506	0.0581	0.2528	0.2478	0.1072	0.4506	0.0697	0.215	0.2117	0.0411	0.4506	0.062
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	4c1c2096-48cc-409a-a0e1-cdff35586107	PathCellObject		PathAnnotationObject	Polygon	3581.4	14706	0.8795	17.7474	15.1146	0.9762	1	5.061	4.5691	39.9322	22.6719	0.9762	1	7.5899	6.8542	0.4444	1.1799	1.2241	0.4581	1.6635	0.2473	0.5935	0.5961	0.2653	1.115	0.1951	0.5687	0.5539	0.2781	0.9384	0.1858	0.8515	0.8014	0.2653	1.6635	0.3647	0.2584	0.2412	0.141	0.6381	0.0756	0.2945	0.2622	0.1081	0.6688	0.0979	0.2809	0.258	0.1081	0.5083	0.0936	0.2786	0.2528	0.1081	0.6688	0.0905
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	334f942f-3446-4895-ad41-c860ead6d47c	PathCellObject		PathAnnotationObject	Polygon	3698.6	14681.3	0.8778	43.0094	23.6651	0.9651	0.9983	8.3179	6.7433	96.9365	35.4888	0.9672	1	12.478	10.1158	0.4437	0.8956	0.9	0.3664	1.3183	0.146	0.3227	0.2936	0.0864	0.8236	0.1296	0.2112	0.2212	0.091	0.3242	0.0579	0.5778	0.4907	0.0864	1.3183	0.3161	0.1664	0.1664	0.039	0.3457	0.0449	0.1545	0.1547	0.0484	0.3166	0.0553	0.1487	0.1526	0.0731	0.2602	0.0504	0.1598	0.1621	0.039	0.3457	0.0513
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	ad007b5f-0c99-4a28-b820-dba20a73ed64	PathCellObject		PathAnnotationObject	Polygon	3716.9	14709.3	0.877	63.2856	29.07	0.9411	0.9991	10.7487	7.5824	142.5296	43.6007	0.9422	1	16.1237	11.3738	0.444	0.9951	1.018	0.4371	1.372	0.1695	0.3528	0.327	0.0883	1.0209	0.1685	0.297	0.2884	0.0883	0.8057	0.1679	0.6381	0.5414	0.0883	1.372	0.3611	0.1808	0.1794	0.0325	0.3007	0.0356	0.1676	0.1651	0.0298	0.36	0.057	0.1505	0.1529	0.0298	0.3201	0.0632	0.1735	0.1742	0.0298	0.36	0.0491
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	b68c0a4c-bd35-4f2c-a9b6-6c2e35ab94fa	PathCellObject		PathAnnotationObject	Polygon	3590.8	14870.5	0.8757	16.1211	15.1835	0.8787	0.9929	5.8228	3.6946	36.5331	22.723	0.8891	1	8.7333	5.5426	0.4413	0.8122	0.8142	0.4375	1.1087	0.138	0.419	0.3565	0.217	0.9704	0.1653	0.3673	0.2986	0.217	0.9704	0.1852	0.5948	0.5773	0.217	1.1087	0.2487	0.2015	0.1897	0.0882	0.5905	0.0843	0.3448	0.2636	0.0926	0.9886	0.2084	0.3992	0.2724	0.0926	0.9886	0.2663	0.2807	0.2311	0.0882	0.9886	0.1796
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	2bff5a19-d096-4e89-81d4-8cc1d49126e7	PathCellObject		PathAnnotationObject	Polygon	3675.1	14685.9	0.8752	17.8243	15.2747	0.96	1	5.5474	4.1496	40.1031	22.9121	0.96	1	8.3223	6.2233	0.4444	1.3956	1.521	0.4702	2.0078	0.3832	0.4456	0.4621	0.1363	0.9372	0.1645	0.369	0.3999	0.1381	0.5608	0.1198	0.8679	0.6259	0.1363	2.0078	0.5507	0.1705	0.1769	-0.0205	0.3451	0.0645	0.1895	0.1897	0.0096	0.3926	0.0934	0.2122	0.2138	0.0425	0.3926	0.0989	0.1811	0.1831	-0.0205	0.3926	0.0823
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	96ad48b5-e8a8-41c5-8830-c68abe5b4add	PathCellObject		PathAnnotationObject	Polygon	3638	14859.6	0.8744	27.474	19.3732	0.9199	0.9991	7.2607	4.7758	61.8621	29.0504	0.9212	1	10.8906	7.1572	0.4441	1.0699	1.0776	0.4373	1.4925	0.1842	0.4214	0.3995	0.154	0.9375	0.1372	0.3574	0.3466	0.1582	0.5818	0.0933	0.7097	0.5883	0.154	1.4925	0.3598	0.1621	0.1501	0.0541	0.3778	0.0644	0.286	0.2826	0.1319	0.4837	0.0592	0.3056	0.3089	0.1538	0.476	0.0632	0.2309	0.2368	0.0541	0.4837	0.087
