Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	c434fa37-78f9-45f5-9222-3d4ff6a2d477	PathCellObject		PathAnnotationObject	Polygon	3627.6	14766.8	0.8737	23.5841	17.7873	0.9367	0.9971	6.5095	4.6511	53.2145	26.6653	0.9405	1	9.7642	6.9763	0.4431	1.1857	1.1867	0.5642	1.7063	0.2693	0.4993	0.4859	0.2007	0.872	0.1493	0.4071	0.3796	0.2007	0.7223	0.1237	0.8026	0.6836	0.2007	1.7063	0.4009	0.1845	0.1656	0.0412	0.4399	0.0725	0.3271	0.3393	0.1008	0.5017	0.083	0.3399	0.3315	0.2122	0.5017	0.0666	0.2641	0.263	0.0412	0.5017	0.1058
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	06b0a06e-718a-4a50-99c2-0ee8e3b50eb6	PathCellObject		PathAnnotationObject	Polygon	3556.4	14693.4	0.8733	22.0036	17.4151	0.9117	1	6.7238	4.213	49.5103	26.124	0.9116	1	10.0863	6.3196	0.4444	0.9261	0.9308	0.471	1.2894	0.1569	0.4738	0.4539	0.2349	0.9726	0.1366	0.3976	0.3911	0.2349	0.558	0.0776	0.6736	0.612	0.2349	1.2894	0.2679	0.1957	0.2007	0.0448	0.3639	0.066	0.2677	0.297	0.0742	0.4047	0.0782	0.2947	0.3232	0.1247	0.4047	0.0751	0.2359	0.2462	0.0448	0.4047	0.0813
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	ecbab31e-9d1e-4f06-a578-e148d0ccea03	PathCellObject		PathAnnotationObject	Polygon	3577.3	14846.1	0.873	12.159	12.518	0.9751	1	4.2602	3.7628	27.3543	18.7758	0.9751	1	6.3905	5.6438	0.4445	1.0949	1.1719	0.4402	1.5109	0.2587	0.4821	0.4131	0.2311	1.1204	0.1926	0.413	0.3452	0.2618	0.9409	0.1569	0.7539	0.6684	0.2311	1.5109	0.3783	0.147	0.1495	0.0237	0.2463	0.0477	0.2053	0.2039	0.0489	0.942	0.0854	0.2501	0.2262	0.1411	0.942	0.129	0.1794	0.1798	0.0237	0.942	0.0768
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	a0d6ffad-0e24-40b7-986e-5f38c995288b	PathCellObject		PathAnnotationObject	Polygon	3648.7	14859.9	0.873	30.3189	19.8336	0.9685	0.9991	6.9193	5.6684	68.2825	29.7469	0.9697	1	10.3792	8.5036	0.444	1.1078	1.1107	0.593	1.4954	0.1594	0.4547	0.4451	0.1059	0.8872	0.1808	0.4138	0.3529	0.1059	0.871	0.2056	0.7456	0.7099	0.1059	1.4954	0.3672	0.2268	0.2263	0.1314	0.3278	0.036	0.2275	0.2071	0.0218	0.6348	0.1047	0.2446	0.24	0.0264	0.6348	0.1363	0.2272	0.224	0.0218	0.6348	0.0816
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	b86d0933-0a74-4431-841c-a0ae235b874f	PathCellObject		PathAnnotationObject	Polygon	3623.6	14679	0.8727	13.4664	13.225	0.9675	1	4.6887	3.7378	30.3016	19.8384	0.9675	1	7.034	5.6067	0.4444	1.3222	1.4002	0.4102	2.1535	0.4657	0.4102	0.3855	0.2	1.0298	0.131	0.3439	0.3488	0.2	0.5556	0.0914	0.817	0.5331	0.2	2.1535	0.5585	0.1878	0.1953	0.0025	0.323	0.0598	0.2006	0.2013	0.0199	0.3846	0.077	0.2433	0.2598	0.1133	0.3846	0.0738	0.1949	0.1967	0.0025	0.3846	0.0701
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	6673ec89-5e56-4b83-a03b-82793af39507	PathCellObject		PathAnnotationObject	Polygon	3694.6	14695.4	0.8722	35.9585	21.6433	0.9646	0.9993	7.6859	5.9068	80.9543	32.4577	0.9656	1	11.5279	8.8609	0.4441	0.9172	0.9477	0.4814	1.2674	0.1593	0.3412	0.3371	0.1045	0.7434	0.117	0.2492	0.2229	0.1045	0.4941	0.0939	0.5976	0.4967	0.1045	1.2674	0.3176	0.1695	0.1703	0.0399	0.3054	0.0477	0.1768	0.1648	0.0285	0.3331	0.0689	0.1854	0.1817	0.0285	0.3331	0.0822	0.1735	0.1688	0.0285	0.3331	0.0605
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	642e8502-48f1-448c-8b2c-827c1102a9f4	PathCellObject		PathAnnotationObject	Polygon	3530.9	14767.8	0.8717	24.2125	17.7059	0.9705	0.999	6.1394	5.0906	54.5366	26.5546	0.9719	1	9.2103	7.6362	0.444	1.1121	1.1588	0.5286	1.5794	0.2119	0.4273	0.3686	0.1982	1.2211	0.1912	0.3649	0.2952	0.1982	0.9078	0.1819	0.7339	0.6851	0.1982	1.5794	0.3954	0.1599	0.1562	0.0605	0.3498	0.0447	0.1355	0.128	0.053	0.3466	0.0468	0.1355	0.1288	0.0635	0.2603	0.0416	0.1464	0.1393	0.053	0.3498	0.0474
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	2ab9e63c-7ce1-4bd4-a62b-b29d3b0a1724	PathCellObject		PathAnnotationObject	Polygon	3519.5	14850.6	0.8711	17.1493	14.9445	0.9649	0.997	5.208	4.239	38.704	22.3906	0.9701	1	7.8118	6.3587	0.4431	1.5193	1.624	0.5088	2.2249	0.4901	0.3887	0.361	0.1316	0.9073	0.1446	0.2903	0.3041	0.1316	0.3839	0.0576	0.8926	0.5783	0.1316	2.2249	0.6593	0.1377	0.1371	0.0043	0.285	0.0592	0.1553	0.1469	0.0318	0.3386	0.0672	0.1775	0.1812	0.0389	0.3386	0.0696	0.1474	0.1415	0.0043	0.3386	0.0643
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	118a1736-aa5c-41f8-9eb3-e1d72a52b361	PathCellObject		PathAnnotationObject	Polygon	3550.9	14837.7	0.8705	22.7071	17.0539	0.9811	1	5.8037	5.006	51.0943	25.5817	0.9811	1	8.7068	7.509	0.4444	1.2867	1.2565	0.4179	1.9834	0.3569	0.4785	0.4585	0.1093	0.9612	0.1904	0.3769	0.3306	0.1093	0.7733	0.1639	0.8348	0.7017	0.1093	1.9834	0.4873	1.0825	1.1798	0.2616	1.672	0.3356	0.329	0.3252	0.0394	0.6953	0.1121	0.2589	0.2709	0.0394	0.4218	0.0868	0.6612	0.4455	0.0394	1.672	0.4435
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	b4900fcf-c844-493c-a0ab-db0ffd274d54	PathCellObject		PathAnnotationObject	Polygon	3638.2	14874	0.8703	22.1147	17.0248	0.9588	0.9974	6.0274	4.8289	49.8872	25.5163	0.9629	1	9.0402	7.2442	0.4433	0.8646	0.8598	0.4515	1.3113	0.169	0.3996	0.3523	0.1468	0.9776	0.1744	0.3096	0.2762	0.1468	0.7046	0.117	0.6046	0.5891	0.1468	1.3113	0.2879	0.1538	0.1436	0.0345	0.3635	0.0592	0.2051	0.203	0.0588	0.4511	0.0631	0.2067	0.2051	0.0799	0.3745	0.0664	0.1825	0.1789	0.0345	0.4511	0.0665
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	562360b1-4d9e-45c9-af87-00a2e9775ae4	PathCellObject		PathAnnotationObject	Polygon	3679.9	14816.6	0.8691	33.2863	21.5261	0.9027	0.9969	8.3248	5.1546	75.1228	32.2752	0.9062	1	12.4864	7.732	0.4431	1.0034	1.0445	0.4435	1.3267	0.2023	0.314	0.2993	0.1718	0.7518	0.0934	0.2786	0.2692	0.1936	0.4433	0.0555	0.6198	0.4433	0.1718	1.3267	0.3747	0.175	0.1639	0.0675	0.3354	0.055	0.2627	0.2706	0.1064	0.3637	0.0548	0.3023	0.3135	0.2033	0.3637	0.0411	0.2238	0.2295	0.0675	0.3637	0.0701
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	8ea7181f-fe24-4d46-b372-1b1ee4c9d853	PathCellObject		PathAnnotationObject	Polygon	3534.5	14868.1	0.8691	12.9737	12.8707	0.9842	1	4.2334	3.9596	29.1902	19.3056	0.9842	1	6.3497	5.9402	0.4444	0.8446	0.8285	0.3969	1.3998	0.1974	0.5256	0.438	0.1491	1.4143	0.3021	0.4589	0.3766	0.1491	1.1896	0.2871	0.6676	0.6485	0.1491	1.4143	0.3051	0.1693	0.1643	0.0472	0.4578	0.06	0.1664	0.1688	0.0328	0.4822	0.0695	0.1594	0.1655	0.0751	0.2377	0.0475	0.1677	0.1654	0.0328	0.4822	0.0654
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	0938c5c5-058e-4767-9a0c-c1ce4bc06f08	PathCellObject		PathAnnotationObject	Polygon	3533.8	14829	0.8676	16.7672	14.7445	0.9692	0.9967	4.9347	4.5525	37.8493	22.094	0.9744	1	7.4011	6.8285	0.443	1.0408	1.0546	0.5565	1.4067	0.1835	0.5852	0.4996	0.2182	1.2694	0.2477	0.5024	0.414	0.2182	1.1273	0.2551	0.7864	0.8554	0.2182	1.4067	0.3167	0.2071	0.1985	0.1398	0.5295	0.0443	0.2594	0.2559	0.1364	0.6174	0.0618	0.2876	0.2776	0.1768	0.6174	0.0699	0.2363	0.222	0.1364	0.6174	0.0606
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	d60a9ea8-6489-4cb8-98c8-fd32347bc95c	PathCellObject		PathAnnotationObject	Polygon	3687.4	14718.9	0.8663	13.4	13.4126	0.936	1	5.0518	3.423	30.1518	20.1191	0.9361	1	7.5771	5.135	0.4444	0.7342	0.7305	0.3181	1.0685	0.1567	0.3848	0.3569	0.1348	0.7713	0.1368	0.3349	0.3111	0.1352	0.6142	0.1123	0.5394	0.5213	0.1348	1.0685	0.2268	0.1103	0.1095	-0.0159	0.2062	0.0424	0.1527	0.1581	-0.0274	0.3274	0.0758	0.1845	0.1978	0.0487	0.3274	0.0775	0.1339	0.1232	-0.0274	0.3274	0.0666
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	9f4e006d-8ba7-44f4-bf98-1e4d455db9e7	PathCellObject		PathAnnotationObject	Polygon	3556.9	14757.7	0.8661	20.5668	16.6863	0.9282	0.9983	6.2034	4.256	46.3585	25.0279	0.93	1	9.3058	6.3844	0.4436	1.3123	1.4076	0.305	2.0743	0.4424	0.3466	0.3234	0.1572	0.9344	0.1222	0.2974	0.2828	0.1824	0.5126	0.0763	0.773	0.4702	0.1572	2.0743	0.57	0.1441	0.1475	-0.0025	0.2578	0.0474	0.1711	0.1621	0.0253	0.4058	0.0723	0.2213	0.2045	0.1047	0.4058	0.0797	0.1592	0.1547	-0.0025	0.4058	0.0639
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	ab3e9fa5-65ca-41eb-a835-11244d384197	PathCellObject		PathAnnotationObject	Polygon	3586.8	14835.6	0.8654	17.6937	15.3026	0.9495	1	5.5852	4.0056	39.8119	22.9542	0.9495	1	8.3771	6.0083	0.4444	1.0784	1.1366	0.3832	1.5159	0.2298	0.3953	0.3687	0.0854	0.8802	0.1823	0.3071	0.2809	0.0854	0.7755	0.1563	0.6964	0.6123	0.0854	1.5159	0.3962	0.1964	0.188	0.0947	0.3397	0.0458	0.2299	0.2057	0.0304	0.5163	0.1083	0.2262	0.1777	0.0352	0.5163	0.1237	0.2151	0.1941	0.0304	0.5163	0.0881
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	ee4eb581-b609-4fcd-8968-b43ec35da38e	PathCellObject		PathAnnotationObject	Polygon	3542.6	14738.6	0.8653	16.792	14.975	0.941	1	5.607	3.9082	37.7776	22.4612	0.941	1	8.4092	5.8605	0.4444	1.5883	1.676	0.6096	2.1316	0.3134	0.7075	0.6202	0.1935	1.5569	0.369	0.569	0.4143	0.1948	1.4878	0.3799	1.102	1.1031	0.1935	2.1316	0.5578	0.1231	0.1217	-0.0061	0.2403	0.055	0.1643	0.1548	0.002	0.7692	0.0883	0.1995	0.1713	0.0589	0.7692	0.1265	0.1459	0.1425	-0.0061	0.7692	0.0779
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	0eab3175-9c8f-4ffd-93fb-e1a46fc60e4b	PathCellObject		PathAnnotationObject	Polygon	3667.9	14798.3	0.8647	20.7708	16.7434	0.9311	0.9941	5.8381	4.8984	47.0136	25.0866	0.9387	1	8.7575	7.3479	0.4418	1.0553	1.0921	0.4917	1.609	0.2349	0.3707	0.3431	0.075	0.8507	0.1447	0.2548	0.2756	0.075	0.4291	0.0842	0.6738	0.5501	0.075	1.609	0.3896	0.2056	0.2008	0.066	0.3321	0.0501	0.2421	0.2589	0.0144	0.3766	0.083	0.2268	0.2431	0.0144	0.3727	0.1018	0.2259	0.2235	0.0144	0.3766	0.0726
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	9dd4e2ae-ee5f-4ef3-a0be-cf60e8a4d129	PathCellObject		PathAnnotationObject	Polygon	3611.4	14731.9	0.8645	35.1553	21.3864	0.9659	0.9989	7.4889	6.1492	79.189	32.0708	0.9675	1	11.2341	9.2239	0.4439	1.0425	1.0045	0.5024	1.8785	0.2928	0.5188	0.3537	0.1661	1.7554	0.3421	0.3601	0.2766	0.1661	1.0426	0.2153	0.7515	0.7335	0.1661	1.8785	0.4133	0.3252	0.2083	0.0875	1.5389	0.2855	0.3429	0.2242	0.1064	1.5389	0.2732	0.267	0.2225	0.1064	0.9435	0.1635	0.335	0.218	0.0875	1.5389	0.2788
PiDGiN1_016_1_1_1_HE_Default setting_28062024.czi - Scene #1	c5478f80-2c53-485b-a62b-6b9a64ff8e18	PathCellObject		PathAnnotationObject	Polygon	3607.1	14698.9	0.8644	17.2553	14.9057	0.9759	1	5.1883	4.3251	38.8257	22.3587	0.976	1	7.7809	6.4875	0.4445	1.0039	1.0391	0.4138	1.4701	0.2172	0.5069	0.4975	0.1697	1.0014	0.2107	0.4517	0.435	0.1813	0.8621	0.1794	0.7289	0.7194	0.1697	1.4701	0.3267	0.248	0.2506	0.0366	0.5785	0.0648	0.2702	0.2461	0.1054	0.7678	0.108	0.3118	0.299	0.1575	0.6143	0.1043	0.2603	0.2497	0.0366	0.7678	0.0919
