Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5220	1020.1	0.8575	25.1464	18.0338	0.9717	0.9967	6.1496	5.3806	56.7684	26.9773	0.9802	1	9.224	8.0709	0.443	0.6905	0.6886	0.2329	1.055	0.2006	0.2278	0.1909	0.0706	0.5522	0.1153	0.1794	0.1622	0.0706	0.4526	0.0954	0.4291	0.3619	0.0706	1.055	0.2788	0.6973	0.6977	0.5835	0.7831	0.0439	0.6342	0.6361	0.5081	0.8444	0.0675	0.6259	0.6204	0.5347	0.7448	0.0534	0.6616	0.6674	0.5081	0.8444	0.0662
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5305.3	1069	0.8528	28.792	19.5578	0.9459	0.9912	7.0042	5.4014	65.3548	29.244	0.9603	1	10.5061	8.1017	0.4405	0.6189	0.6571	0.1031	1.0449	0.2093	0.1588	0.1485	0.0044	0.4625	0.1029	0.1254	0.1332	0.0086	0.3806	0.0708	0.3579	0.2537	0.0044	1.0449	0.2775	0.6849	0.6771	0.5654	0.8727	0.0594	0.6073	0.6122	0.4316	0.7118	0.0557	0.6068	0.6228	0.4529	0.7036	0.0589	0.6409	0.6417	0.4316	0.8727	0.069
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5228.6	1088.5	0.8516	44.6192	24.3724	0.9439	0.9954	8.7853	6.6035	100.8631	36.5235	0.9502	1	13.1778	9.9054	0.4424	0.4883	0.5044	0.114	0.784	0.1703	0.124	0.0978	0.0253	0.3438	0.0755	0.0912	0.0751	0.0253	0.2929	0.0568	0.2859	0.206	0.0253	0.784	0.221	0.7195	0.726	0.5373	0.8679	0.07	0.6527	0.6448	0.405	0.9234	0.0796	0.6464	0.6393	0.405	0.9234	0.0911	0.6824	0.6832	0.405	0.9234	0.0824
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5158.8	1063	0.8506	32.6194	20.615	0.9645	0.9963	7.2143	5.8492	73.6689	30.8815	0.9707	1	10.8219	8.7741	0.4428	0.629	0.6655	0.1208	0.9763	0.1739	0.1264	0.0976	-0.003	0.5284	0.0997	0.0773	0.0596	0.0031	0.2835	0.0658	0.3455	0.2454	-0.003	0.9763	0.2846	0.7373	0.7325	0.6522	0.8828	0.0414	0.7076	0.7066	0.5833	0.8374	0.0537	0.6838	0.6774	0.5833	0.8374	0.0573	0.7205	0.7217	0.5833	0.8828	0.0508
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5329	988.96	0.8461	25.5798	18.6126	0.9279	0.9915	6.8932	4.941	58.0454	27.7566	0.9468	1	10.3392	7.4114	0.4407	0.7205	0.7358	0.3659	0.9634	0.1465	0.2681	0.2508	0.0808	0.5431	0.1054	0.2205	0.1822	0.0808	0.5202	0.1054	0.4657	0.4025	0.0808	0.9634	0.2571	0.7489	0.7554	0.6231	0.8392	0.0433	0.6732	0.6774	0.5363	0.7886	0.0533	0.6717	0.6754	0.5363	0.7706	0.0539	0.7062	0.7118	0.5363	0.8392	0.0619
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5330.7	982.58	0.8455	27.2987	18.7539	0.9754	0.9959	6.1782	5.6563	61.6741	28.0968	0.9817	1	9.2673	8.4847	0.4426	0.6246	0.6524	0.1869	0.9085	0.178	0.1906	0.175	0.0155	0.5611	0.1076	0.1479	0.1321	0.0155	0.5308	0.0982	0.3818	0.2934	0.0155	0.9085	0.2587	0.7394	0.7492	0.5878	0.8556	0.0611	0.683	0.6853	0.5349	0.8209	0.0707	0.6722	0.6721	0.5407	0.8207	0.0756	0.7079	0.7118	0.5349	0.8556	0.0722
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5299	1098	0.8385	22.5763	17.1715	0.9622	0.9933	5.886	4.9613	51.1357	25.6792	0.9745	1	8.8291	7.4411	0.4415	0.7286	0.7517	0.213	1.1754	0.2214	0.1659	0.152	0.0193	0.5017	0.1089	0.099	0.0885	0.0193	0.2004	0.0529	0.4193	0.3222	0.0193	1.1754	0.3274	0.7225	0.7172	0.6037	0.8653	0.0563	0.6361	0.6396	0.527	0.7453	0.0431	0.6305	0.6408	0.527	0.7088	0.0433	0.675	0.665	0.527	0.8653	0.0655
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5284.8	918.94	0.8379	42.1366	23.7416	0.9394	0.9984	8.6905	6.1852	94.9646	35.6036	0.9414	1	13.0364	9.2778	0.4437	0.4314	0.4291	0.1188	0.6861	0.1111	0.1207	0.0958	0.0115	0.3783	0.0753	0.0711	0.0693	0.0115	0.1385	0.0281	0.2584	0.2077	0.0115	0.6861	0.1802	0.7557	0.7629	0.61	0.8978	0.0707	0.6218	0.6242	0.5206	0.7607	0.0408	0.6073	0.6096	0.5206	0.6702	0.0375	0.6811	0.654	0.5206	0.8978	0.087
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5241.4	1028.2	0.8376	36.327	21.8068	0.96	0.9948	7.6012	6.2231	82.1616	32.6668	0.9675	1	11.4018	9.3351	0.4422	0.4969	0.4948	0.1546	0.7397	0.1462	0.1395	0.1141	0.0252	0.3802	0.0746	0.09	0.0849	0.0252	0.1885	0.0352	0.2977	0.2228	0.0252	0.7397	0.21	0.6512	0.6464	0.5612	0.7388	0.0426	0.611	0.5991	0.4733	0.7383	0.06	0.5968	0.5857	0.4933	0.7383	0.0628	0.6288	0.6245	0.4733	0.7388	0.0566
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5317.7	986.2	0.8367	23.7868	17.5068	0.9753	0.996	5.8107	5.2503	53.7363	26.2246	0.9819	1	8.716	7.8755	0.4427	0.6025	0.6314	0.1494	0.943	0.2033	0.1485	0.1099	-0	0.5637	0.1222	0.0899	0.0559	-0	0.4311	0.1005	0.3526	0.2748	-0	0.943	0.2791	0.648	0.6448	0.5101	0.8043	0.062	0.5547	0.5406	0.4508	0.7139	0.0569	0.5517	0.5394	0.4629	0.7139	0.0554	0.5966	0.5906	0.4508	0.8043	0.0752
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5221	1033.2	0.835	23.3393	17.302	0.9797	0.9963	5.725	5.3216	52.7117	25.9292	0.9852	1	8.5873	7.9829	0.4428	0.605	0.6221	0.2737	0.8382	0.1459	0.1812	0.1697	0.0254	0.4303	0.0819	0.1218	0.1181	0.0254	0.2117	0.0442	0.3661	0.2737	0.0254	0.8382	0.2395	0.7575	0.7622	0.5982	0.87	0.0522	0.6446	0.6426	0.5411	0.7409	0.05	0.6291	0.6305	0.5411	0.7248	0.0544	0.6939	0.6921	0.5411	0.87	0.0757
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5221.6	960.8	0.8347	22.5183	17.0385	0.9747	0.995	5.6167	5.2024	50.9225	25.5168	0.9828	1	8.4252	7.804	0.4422	0.6502	0.6898	0.1824	0.9696	0.2001	0.1344	0.0966	0.0033	0.6397	0.1114	0.0639	0.0655	0.0033	0.1245	0.0295	0.3574	0.2398	0.0033	0.9696	0.2997	0.6957	0.6958	0.5506	0.8486	0.0489	0.6225	0.6381	0.464	0.7004	0.0531	0.6305	0.641	0.4949	0.7004	0.0516	0.6541	0.6577	0.464	0.8486	0.0628
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5234.9	1051.1	0.8347	30.2931	19.8125	0.9698	0.997	6.8715	5.6857	68.3693	29.7063	0.9736	1	10.3073	8.5294	0.4431	0.5889	0.6203	0.2456	0.894	0.1479	0.1604	0.132	0.0555	0.5097	0.0828	0.1093	0.1027	0.0564	0.1815	0.0298	0.3473	0.2593	0.0555	0.894	0.2422	0.6658	0.6683	0.5521	0.835	0.05	0.5864	0.6013	0.3436	0.7063	0.0657	0.5807	0.5965	0.3436	0.7063	0.0762	0.621	0.6283	0.3436	0.835	0.0712
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5186.8	949.52	0.833	23.9975	17.7495	0.9572	0.9937	6.2233	4.9825	54.3381	26.5838	0.9662	1	9.3355	7.4738	0.4416	0.5399	0.5686	0.1636	0.8205	0.1665	0.1921	0.1267	0.0014	0.6276	0.162	0.1356	0.0712	0.0014	0.5784	0.1538	0.3482	0.3189	0.0014	0.8205	0.2384	0.5914	0.5885	0.4906	0.6683	0.0378	0.5847	0.5902	0.4672	0.6965	0.0543	0.5995	0.6042	0.4672	0.6965	0.0542	0.5877	0.5896	0.4672	0.6965	0.0476
2022_01_17__40x_shading area verplaatst_onionskinadapted5 density 0.05_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5136	1005.5	0.8329	56.8399	27.106	0.9721	0.9963	9.2561	7.8889	128.3659	40.6316	0.9771	1	13.8844	11.8335	0.4428	0.4995	0.5056	0.2679	0.6792	0.0712	0.1831	0.1708	-0.0093	0.4683	0.1044	0.106	0.0814	-0.0093	0.3338	0.0804	0.3235	0.3155	-0.0093	0.6792	0.1817	0.8854	0.8643	0.7558	1.2443	0.089	0.7825	0.7819	0.5431	1.09	0.0952	0.7205	0.7154	0.5431	1.0362	0.0947	0.8281	0.8234	0.5431	1.2443	0.1057
